Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,ETSU,49,Abilene Christian,47,70,-23
NA,Florida Col.,NA,South Fla.,84,94,-10
51,Mount St. Mary's,NA,Morgan St.,62,55,7
NA,Oakland,NA,Xavier,49,101,-52
NA,George Washington,NA,Navy,71,78,-7
NA,Radford,28,Virginia Tech,62,77,-15
NA,McNeese,NA,Nebraska,55,102,-47
NA,Limestone,NA,James Madison,55,89,-34
NA,Prairie View,NA,Little Rock,66,71,-5
NA,Keene St.,NA,New Hampshire,54,93,-39
NA,Fla. National,NA,Ga. Southern,65,97,-32
NA,North Georgia,NA,Mercer,48,79,-31
NA,North Dakota,NA,Miami (OH),67,81,-14
4,Virginia,NA,Towson,89,54,35
NA,N.C. A&T,53,Illinois,60,122,-62
18,App State,NA,South Carolina St.,81,61,20
NA,Illinois St.,20,Ohio St.,67,94,-27
12,Drake,NA,Kansas St.,80,70,10
NA,Old Dominion,44,Maryland,67,85,-18
NA,Fairfield,NA,Providence,56,97,-41
NA,Southern Wesleyan,NA,USC Upstate,82,72,10
NA,Memphis,NA,Saint Mary's (CA),73,56,17
NA,Austin Peay,NA,Omaha,72,66,6
NA,Lander,NA,Chattanooga,63,99,-36
NA,North Dakota St.,NA,Nevada,48,62,-14
NA,Toledo,NA,Bradley,59,61,-2
NA,Lamar University,54,Houston,45,89,-44
NA,Piedmont,NA,The Citadel,64,89,-25
NA,Alcorn,NA,UAB,50,99,-49
NA,Bowling Green,35,Michigan,82,96,-14
NA,San Francisco,NA,UMass Lowell,68,76,-8
NA,N.C. Central,2,Iowa,67,97,-30
56,Oklahoma St.,NA,UT Arlington,75,68,7
NA,Evansville,NA,Louisville,44,79,-35
NA,Tusculum,NA,Furman,62,95,-33
NA,UMBC,47,Georgetown,62,70,-8
NA,UNCW,NA,Western Caro.,76,98,-22
NA,Delaware St.,NA,Wake Forest,51,111,-60
NA,Carver,NA,Kennesaw St.,40,87,-47
NA,Western Ky.,NA,UNI,93,87,6
NA,Fairleigh Dickinson,NA,Quinnipiac,66,84,-18
NA,UC Riverside,NA,Pacific,60,66,-6
14,Ohio,NA,Chicago St.,84,61,23
NA,North Florida,NA,Eastern Ky.,67,80,-13
NA,Toccoa Falls,NA,Wofford,49,88,-39
NA,William Jessup,NA,Fresno St.,47,87,-40
66,Morehead St.,NA,Kentucky,45,81,-36
NA,Ball St.,NA,Northern Ky.,73,74,-1
NA,Western Mich.,NA,Butler,62,66,-4
NA,Col. of Charleston,26,North Carolina,60,79,-19
65,Liberty,22,Purdue,64,77,-13
NA,Eastern Mich.,45,Michigan St.,67,83,-16
NA,Merchant Marine,NA,Army West Point,32,93,-61
NA,Oakwood,NA,North Ala.,74,98,-24
NA,UC Irvine,NA,Pepperdine,72,86,-14
NA,Mary Hardin-Baylor,NA,Texas St.,59,98,-39
NA,Flagler,NA,FIU,81,85,-4
NA,California,64,Oregon St.,63,71,-8
NA,Rhode Island,NA,Arizona St.,88,94,-6
NA,Westmont,NA,CSUN,79,97,-18
NA,SIUE,NA,Saint Louis,52,89,-37
NA,South Dakota St.,55,West Virginia,71,79,-8
NA,Coastal Ga.,NA,Jacksonville,57,99,-42
NA,Southeastern La.,NA,Purdue Fort Wayne,63,67,-4
NA,St. Andrews,NA,VMI,63,90,-27
NA,N.C. Wesleyan,NA,Elon,52,82,-30
NA,Northwestern St.,24,Texas Tech,58,101,-43
NA,High Point,NA,Davidson,73,82,-9
NA,Florida A&M,NA,FGCU,56,65,-9
NA,Sacred Heart,62,Rutgers,63,86,-23
NA,Green Bay,NA,Minnesota,69,99,-30
33,Oral Roberts,9,Missouri,64,91,-27
NA,Idaho St.,NA,Santa Clara,49,62,-13
NA,Tex. Permian Basin,NA,UTEP,81,100,-19
NA,UIC,NA,Northern Ill.,65,61,4
NA,Fla. Atlantic,NA,South Alabama,66,68,-2
NA,Saint Francis (PA),NA,Pittsburgh,80,70,10
NA,Saint Peter's,NA,St. John's (NY),75,76,-1
NA,Mississippi Val.,21,Arkansas,62,142,-80
NA,Charleston So.,NA,NC State,61,95,-34
NA,Central Conn. St.,41,UConn,75,102,-27
NA,Dallas Christian,NA,Tarleton St.,48,103,-55
NA,Southern Utah,NA,LMU (CA),83,85,-2
NA,Westminster (UT),40,BYU,59,108,-49
NA,Sam Houston St.,NA,SMU,67,97,-30
NA,Jacksonville St.,36,Alabama,57,81,-24
NA,Houston Baptist,NA,TCU,45,69,-24
NA,UTRGV,37,Texas,55,91,-36
NA,South Dakota,39,Colorado,61,84,-23
NA,Tennessee Tech,NA,Indiana,59,89,-30
59,Clemson,NA,Mississippi St.,53,42,11
NA,Tex. A&M Int'l,NA,A&M-Corpus Christi,53,64,-11
NA,California Baptist,6,Southern California,87,95,-8
NA,Georgia St.,61,Georgia Tech,123,120,3
NA,Adams St.,NA,Weber St.,60,88,-28
NA,Grambling,16,Grand Canyon,53,69,-16
23,Villanova,NA,Boston College,76,67,9
NA,Montana St.,NA,UNLV,91,78,13
10,VCU,29,Utah St.,85,69,16
NA,Eastern Ill.,27,Wisconsin,67,77,-10
NA,Nicholls St.,NA,UC Davis,101,93,8
NA,Ark.-Pine Bluff,NA,Marquette,57,99,-42
NA,Bethesda (CA),NA,Sacramento St.,57,101,-44
46,UCLA,58,San Diego St.,58,73,-15
52,Texas Southern,NA,Washington St.,52,56,-4
NA,Seattle U,NA,Portland,84,72,12
NA,Omaha,NA,Middle Tenn.,60,59,1
NA,Bradley,NA,Xavier,50,51,-1
NA,Western Ky.,NA,Memphis,75,69,6
NA,Chicago St.,53,Illinois,38,97,-59
NA,Adams St.,NA,Utah Valley,75,100,-25
1,Gonzaga,3,Kansas,102,90,12
NA,La Salle,NA,St. John's (NY),65,82,-17
NA,Nevada,NA,Nebraska,69,66,3
NA,Austin Peay,NA,ETSU,67,66,1
10,VCU,55,West Virginia,66,78,-12
NA,Toledo,NA,Oakland,80,53,27
NA,N.C. A&T,14,Ohio,72,84,-12
NA,San Francisco,NA,Towson,79,68,11
NA,Saint Joseph's,NA,Auburn,91,96,-5
NA,Howard,NA,Belmont,78,95,-17
NA,UNI,NA,Saint Mary's (CA),64,66,-2
65,Liberty,NA,Mississippi St.,84,73,11
NA,Northwest (WA),NA,California,61,86,-25
NA,Boston College,NA,Rhode Island,69,64,5
NA,SIUE,42,LSU,81,94,-13
29,Utah St.,NA,South Dakota St.,59,83,-24
NA,Mississippi Val.,31,North Texas,62,116,-54
NA,Queens (NC),NA,George Mason,65,66,-1
22,Purdue,59,Clemson,70,81,-11
NA,New Orleans,40,BYU,61,86,-25
23,Villanova,NA,Arizona St.,83,74,9
NA,Auburn,1,Gonzaga,67,90,-23
NA,ETSU,NA,Middle Tenn.,57,43,14
4,Virginia,NA,San Francisco,60,61,-1
NA,Toledo,NA,Xavier,73,76,-3
17,Norfolk St.,NA,James Madison,83,73,10
NA,Jacksonville St.,NA,Fla. Atlantic,60,50,10
NA,Western Caro.,NA,Troy,64,66,-2
NA,Evansville,NA,Prairie View,61,64,-3
14,Ohio,53,Illinois,75,77,-2
NA,Northwest (WA),64,Oregon St.,42,114,-72
55,West Virginia,NA,Western Ky.,70,64,6
NA,Lamar University,NA,Tulane,57,66,-9
NA,Army West Point,NA,Central Conn. St.,79,57,22
49,Abilene Christian,NA,Austin Peay,80,72,8
NA,Flagler,NA,FIU,75,82,-7
NA,South Dakota,12,Drake,54,69,-15
NA,Rice,NA,UIW,68,53,15
NA,Sam Houston St.,24,Texas Tech,52,84,-32
NA,Belmont,NA,George Mason,77,67,10
NA,Saint Joseph's,3,Kansas,72,94,-22
NA,Eastern Ky.,NA,Charleston So.,60,50,10
NA,Boise St.,54,Houston,58,68,-10
46,UCLA,NA,Pepperdine,107,98,9
NA,Navy,44,Maryland,52,82,-30
NA,Bryant,63,Syracuse,84,85,-1
NA,Oakland,NA,Bradley,60,74,-14
NA,William Jessup,NA,Seattle U,53,77,-24
NA,East Carolina,NA,Charlotte,66,57,9
