 


  
  

NCAA Men's Basketball
Division IWon-Lost Percentage
Through Games 03/11/2020


"Rank","Name","W","L","Pct"
"1","Gonzaga","31","2","93.9"
"2","San Diego St.","30","2","93.8"
"3","Dayton","29","2","93.5"
"4","Kansas","28","3","90.3"
"","SFA","28","3","90.3"
"6","Liberty","30","4","88.2"
"","ETSU","30","4","88.2"
"8","Baylor","26","4","86.7"
"9","Florida St.","26","5","83.9"
"10","UNI","25","6","80.6"
"","New Mexico St.","25","6","80.6"
"","Auburn","25","6","80.6"
"","Kentucky","25","6","80.6"
"","Duke","25","6","80.6"
"15","Vermont","26","7","78.8"
"","Belmont","26","7","78.8"
"17","Furman","25","7","78.1"
"","Wright St.","25","7","78.1"
"19","Richmond","24","7","77.4"
"","Oregon","24","7","77.4"
"","Maryland","24","7","77.4"
"","Akron","24","7","77.4"
"","Creighton","24","7","77.4"
"","Louisville","24","7","77.4"
"","Villanova","24","7","77.4"
"26","Yale","23","7","76.7"
"","Virginia","23","7","76.7"
"28","Hofstra","26","8","76.5"
"","Saint Mary's (CA)","26","8","76.5"
"","Utah St.","26","8","76.5"
"31","North Dakota St.","25","8","75.8"
"32","BYU","24","8","75.0"
"33","Saint Louis","23","8","74.2"
"","Houston","23","8","74.2"
"","Eastern Wash.","23","8","74.2"
"","Wichita St.","23","8","74.2"
"37","Colgate","25","9","73.5"
"38","Louisiana Tech","22","8","73.3"
"39","Harvard","21","8","72.4"
"40","Northern Ky.","23","9","71.9"
"","Murray St.","23","9","71.9"
"","UNC Greensboro","23","9","71.9"
"43","Southern California","22","9","71.0"
"","Northern Colo.","22","9","71.0"
"","Michigan St.","22","9","71.0"
"","Butler","22","9","71.0"
"47","Winthrop","24","10","70.6"
"48","Duquesne","21","9","70.0"
"","Rhode Island","21","9","70.0"
"","Seton Hall","21","9","70.0"
"51","Pacific","23","10","69.7"
"52","Saint Francis (PA)","22","10","68.8"
"","South Dakota St.","22","10","68.8"
"54","Tulsa","21","10","67.7"
"","Penn St.","21","10","67.7"
"","Ohio St.","21","10","67.7"
"","Nicholls St.","21","10","67.7"
"","Memphis","21","10","67.7"
"","Little Rock","21","10","67.7"
"","West Virginia","21","10","67.7"
"","LSU","21","10","67.7"
"","Illinois","21","10","67.7"
